year,acresBurned,counties
2013,257314,Tuolumne
2013,30274,Los Angeles
2013,27531,Riverside
2013,27440,Placer
2013,24251,Ventura
2013,22992,Fresno
2013,20292,Riverside
2013,14754,Siskiyou
2013,12503,Humboldt
2013,11429,Tehama
2013,8073,Shasta
2013,7055,San Diego
2013,6965,Tehama
2013,4346,Kern
2013,4346,Ventura
2013,3505,Sonoma
2013,3166,Riverside
2013,3111,Contra Costa
2013,2781,San Diego
2013,2462,Butte
2013,2236,San Diego
2013,2060,Tulare
2013,1984,Santa Barbara
2013,1708,Mariposa
2013,1383,Riverside
2013,1271,San Diego
2013,1070,Tuolumne
2013,917,Monterey
2013,794,Kern
2013,712,Kern
2013,712,Los Angeles
2013,612,Kern
2013,572,El Dorado
2013,534,San Bernardino
2013,513,Plumas
2013,510,Riverside
2013,502,Modoc
2013,500,San Luis Obispo
2013,492,Contra Costa
2013,482,Madera
2013,413,San Bernardino
2013,406,Inyo
2013,376,Napa
2013,354,San Benito
2013,311,Riverside
2013,305,Butte
2013,303,San Joaquin
2013,298,Butte
2013,296,Lake
2013,274,Contra Costa
2013,274,Madera
2013,268,Los Angeles
2013,263,San Diego
2013,243,San Bernardino
2013,240,Alameda
2013,237,Placer
2013,226,Glenn
2013,217,Glenn
2013,213,Monterey
2013,200,San Bernardino
2013,200,Tehama
2013,196,Shasta
2013,195,Tehama
2013,190,Napa
2013,170,Santa Barbara
2013,163,Yolo
2013,163,El Dorado
2013,163,Sacramento
2013,159,Sonoma
2013,158,Sonoma
2013,150,Alameda
2013,150,Riverside
2013,150,Stanislaus
2013,150,Fresno
2013,150,Butte
2013,149,Los Angeles
2013,134,Tulare
2013,125,Sonoma
2013,124,Solano
2013,124,Merced
2013,124,Riverside
2013,120,Lake
2013,116,El Dorado
2013,110,San Bernardino
2013,108,Fresno
2013,105,Monterey
2013,100,Los Angeles
2013,100,Tuolumne
2013,100,San Diego
2013,98,Mendocino
2013,97,Modoc
2013,97,San Bernardino
2013,97,Lassen
2013,96,Amador
2013,94,San Luis Obispo
2013,92,Butte
2013,91,Madera
2013,90,Riverside
2013,85,San Luis Obispo
2013,82,Mendocino
2013,80,Butte
2013,80,Fresno
2013,75,Tehama
2013,75,San Bernardino
2013,75,Madera
2013,75,San Bernardino
2013,75,Napa
2013,73,San Bernardino
2013,73,Yuba
2013,72,Butte
2013,70,Lake
2013,68,Modoc
2013,64,Ventura
2013,60,Riverside
2013,60,Riverside
2013,52,Nevada
2013,51,San Luis Obispo
2013,50,Lake
2013,50,Siskiyou
2013,50,Santa Clara
2013,50,Alameda
2013,50,San Luis Obispo
2013,46,Calaveras
2013,46,Fresno
2013,45,Mendocino
2013,44,Ventura
2013,43,Shasta
2013,42,Riverside
2013,41,San Mateo
2013,40,Santa Clara
2013,40,Orange
2013,40,San Diego
2013,40,Riverside
2013,40,Siskiyou
2013,40,Riverside
2013,40,Riverside
2013,40,Riverside
2013,38,El Dorado
2013,38,Lake
2013,38,Alameda
2013,35,Fresno
2013,35,San Luis Obispo
2013,34,Shasta
2013,33,Shasta
2013,31,Calaveras
2013,30,Lake
2013,30,Lake
2013,30,San Bernardino
2013,28,Sonoma
2013,28,Solano
2013,28,Lake
2013,28,Colusa
2013,27,Shasta
2013,25,San Diego
2013,25,Lake
2013,25,Riverside
2013,23,Lake
2013,15,Mendocino
2013,15,Riverside
2013,15,Madera
2013,0,Humboldt
2013,0,Riverside
2014,97717,El Dorado
2014,50042,Siskiyou
2014,39736,Shasta
2014,35302,Siskiyou
2014,32496,Siskiyou
2014,32416,Shasta
2014,14416,San Diego
2014,13838,Madera
2014,13153,Modoc
2014,12661,Shasta
2014,12536,Mendocino
2014,6488,Yolo
2014,6258,Shasta
2014,5503,Siskiyou
2014,5367,San Diego
2014,4840,Monterey
2014,4772,Mariposa
2014,4689,Mariposa
2014,4300,Napa
2014,4300,Lake
2014,4240,Amador
2014,4240,El Dorado
2014,4045,Kern
2014,3895,Kern
2014,2143,San Bernardino
2014,1995,San Diego
2014,1952,Los Angeles
2014,1680,Kern
2014,1651,Modoc
2014,1548,San Diego
2014,1469,Modoc
2014,1457,San Diego
2014,1375,Shasta
2014,1080,Mariposa
2014,968,Orange
2014,865,Tehama
2014,677,Mariposa
2014,632,Santa Barbara
2014,612,Madera
2014,600,San Diego
2014,580,Trinity
2014,516,Siskiyou
2014,487,Tuolumne
2014,459,Placer
2014,403,Mendocino
2014,400,Monterey
2014,389,Butte
2014,380,San Diego
2014,350,Riverside
2014,333,Humboldt
2014,320,Madera
2014,311,Mariposa
2014,300,Mariposa
2014,300,Merced
2014,274,Los Angeles
2014,269,Tuolumne
2014,247,Nevada
2014,225,Tehama
2014,217,San Diego
2014,210,Humboldt
2014,190,Los Angeles
2014,175,Lake
2014,143,Shasta
2014,130,Mariposa
2014,125,Santa Clara
2014,125,San Diego
2014,120,Calaveras
2014,120,Placer
2014,113,Inyo
2014,106,Fresno
2014,105,San Diego
2014,101,Modoc
2014,100,Lake
2014,100,Riverside
2014,94,El Dorado
2014,90,Mariposa
2014,85,Calaveras
2014,84,Nevada
2014,80,Santa Clara
2014,80,Contra Costa
2014,79,Mariposa
2014,78,Riverside
2014,75,Shasta
2014,75,Monterey
2014,72,Butte
2014,70,Tuolumne
2014,70,Kern
2014,70,Solano
2014,65,Inyo
2014,62,Mendocino
2014,60,Butte
2014,57,Riverside
2014,56,San Diego
2014,50,Shasta
2014,48,San Bernardino
2014,47,San Luis Obispo
